# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0018
# Reynolds number,120000
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-4.000000000000000000e+00 -5.787774324417114258e-01 1.989597454667091370e-02 1.553313527256250381e-02 -1.454047083854675293e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.899999999999999467e+00 -5.636836290359497070e-01 1.984210312366485596e-02 1.473038084805011749e-02 -1.423586726188659668e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.799999999999999822e+00 -5.474866628646850586e-01 1.977922394871711731e-02 1.372147724032402039e-02 -1.392608761787414551e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.699999999999999289e+00 -5.285757184028625488e-01 1.972498744726181030e-02 1.217405404895544052e-02 -1.359224438667297363e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.599999999999999645e+00 -5.150803923606872559e-01 1.966578699648380280e-02 1.175549533218145370e-02 -1.332172513008117676e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.500000000000000000e+00 -4.983415007591247559e-01 1.959767937660217285e-02 1.066838949918746948e-02 -1.302344083786010742e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.399999999999999467e+00 -4.787169098854064941e-01 1.953409984707832336e-02 9.090050123631954193e-03 -1.269793987274169922e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.299999999999999822e+00 -4.665260910987854004e-01 1.947224885225296021e-02 8.923285640776157379e-03 -1.245913863182067871e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.199999999999999289e+00 nan nan nan nan 1.000000000000000000e+00 1.000000000000000000e+00
-3.099999999999999645e+00 -4.293216466903686523e-01 1.931878924369812012e-02 6.229551509022712708e-03 -1.186167478561401367e+00 1.000000000000000000e+00 1.000000000000000000e+00
-3.000000000000000000e+00 -4.177612364292144775e-01 1.925437711179256439e-02 6.179986987262964249e-03 -1.164412856101989746e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.899999999999999467e+00 -4.003282487392425537e-01 1.917685940861701965e-02 5.110487341880798340e-03 -1.137163877487182617e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.799999999999999822e+00 -3.802179694175720215e-01 1.907834038138389587e-02 3.540273290127515793e-03 -1.107780098915100098e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.699999999999999289e+00 -3.668397665023803711e-01 1.900667510926723480e-02 3.183951601386070251e-03 -1.085815429687500000e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.599999999999999645e+00 -3.504334092140197754e-01 1.892923749983310699e-02 2.382178325206041336e-03 -1.060968399047851562e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.500000000000000000e+00 -3.315247595310211182e-01 1.881007477641105652e-02 1.055281842127442360e-03 -1.034635543823242188e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.399999999999999467e+00 -3.114109337329864502e-01 1.869129762053489685e-02 -3.747400769498199224e-04 -1.007662057876586914e+00 1.000000000000000000e+00 1.000000000000000000e+00
-2.299999999999999822e+00 -3.025272190570831299e-01 1.864358223974704742e-02 1.946873089764267206e-04 -9.912272095680236816e-01 1.000000000000000000e+00 1.000000000000000000e+00
-2.199999999999999289e+00 -2.852833271026611328e-01 1.852803304791450500e-02 -6.973224226385354996e-04 -9.679263830184936523e-01 1.000000000000000000e+00 1.000000000000000000e+00
